EFPG_name,Metroregion_name,Season,Latitude,Longitude,Purchase_grams_wtd
Egg and egg substitutes,Boston-Cambridge-Newton  MA-NH,Summer,42.3601,-71.0589,49735321622.0
Egg and egg substitutes,Boston-Cambridge-Newton  MA-NH,Winter,42.3601,-71.0589,54675604233.0
Egg and egg substitutes,Chicago-Naperville-Elgin  IL-IN-WI,Fall,41.8781,-87.6298,78934717282.0
Egg and egg substitutes,Chicago-Naperville-Elgin  IL-IN-WI,Spring,41.8781,-87.6298,76681341246.0
Egg and egg substitutes,Chicago-Naperville-Elgin  IL-IN-WI,Summer,41.8781,-87.6298,67127944505.0
Egg and egg substitutes,Chicago-Naperville-Elgin  IL-IN-WI,Winter,41.8781,-87.6298,89876590151.0
Egg and egg substitutes,Dallas-Fort Worth-Arlington  TX,Fall,32.7767,-96.797,58293125178.0
Egg and egg substitutes,Dallas-Fort Worth-Arlington  TX,Spring,32.7767,-96.797,60813583816.0
Egg and egg substitutes,Dallas-Fort Worth-Arlington  TX,Summer,32.7767,-96.797,57899178070.0
Egg and egg substitutes,Dallas-Fort Worth-Arlington  TX,Winter,32.7767,-96.797,62042412834.0
Egg and egg substitutes,Detroit-Warren-Dearborn  MI,Fall,42.3314,-83.0458,37189849650.0
Egg and egg substitutes,Detroit-Warren-Dearborn  MI,Spring,42.3314,-83.0458,41385429699.0
Egg and egg substitutes,Detroit-Warren-Dearborn  MI,Summer,42.3314,-83.0458,36863654631.0
Egg and egg substitutes,Detroit-Warren-Dearborn  MI,Winter,42.3314,-83.0458,41917555993.0
Egg and egg substitutes,Houston-The Woodlands-Sugar Land  TX,Fall,29.7604,-95.3698,60575728142.0
Egg and egg substitutes,Houston-The Woodlands-Sugar Land  TX,Spring,29.7604,-95.3698,64133283037.0
Egg and egg substitutes,Houston-The Woodlands-Sugar Land  TX,Summer,29.7604,-95.3698,63191441359.0
Egg and egg substitutes,Houston-The Woodlands-Sugar Land  TX,Winter,29.7604,-95.3698,66286861202.0
Egg and egg substitutes,Los Angeles-Long Beach-Anaheim  CA,Fall,34.0522,-118.2437,89885934010.0
Egg and egg substitutes,Los Angeles-Long Beach-Anaheim  CA,Spring,34.0522,-118.2437,93870878643.0
Egg and egg substitutes,Los Angeles-Long Beach-Anaheim  CA,Summer,34.0522,-118.2437,93182179401.0
Egg and egg substitutes,Los Angeles-Long Beach-Anaheim  CA,Winter,34.0522,-118.2437,101014083213.0
Egg and egg substitutes,Miami-Fort Lauderdale-West Palm Beach  FL,Fall,25.7617,-80.1918,47998909218.0
Egg and egg substitutes,Miami-Fort Lauderdale-West Palm Beach  FL,Spring,25.7617,-80.1918,50228719984.0
Egg and egg substitutes,Miami-Fort Lauderdale-West Palm Beach  FL,Summer,25.7617,-80.1918,46447440408.0
Egg and egg substitutes,Miami-Fort Lauderdale-West Palm Beach  FL,Winter,25.7617,-80.1918,54001233149.0
Egg and egg substitutes,New York-Newark-Jersey City  NY-NJ-PA,Fall,40.7128,-74.006,187735332041.0
Egg and egg substitutes,New York-Newark-Jersey City  NY-NJ-PA,Spring,40.7128,-74.006,180816073477.0
Egg and egg substitutes,New York-Newark-Jersey City  NY-NJ-PA,Summer,40.7128,-74.006,171904440240.0
Egg and egg substitutes,New York-Newark-Jersey City  NY-NJ-PA,Winter,40.7128,-74.006,200721332201.0
Egg and egg substitutes,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Fall,39.9526,-75.1652,57066895440.0
Egg and egg substitutes,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Spring,39.9526,-75.1652,57575631220.0
Egg and egg substitutes,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Summer,39.9526,-75.1652,55421968943.0
Egg and egg substitutes,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Winter,39.9526,-75.1652,62085018185.0
Frozen and refrigerated ready-to-heat foods,Atlanta-Sandy Springs-Roswell  GA,Fall,33.749,-84.388,134757528836.0
Frozen and refrigerated ready-to-heat foods,Atlanta-Sandy Springs-Roswell  GA,Spring,33.749,-84.388,134756366411.0
